Protein_ID,Gene_Name,Infected_1022,Infected_1002,Infected_1015,Infected_1004,Infected_1017,Infected_1031,Infected_1014,Infected_1042,Infected_1044,Clean_2205,Clean_2057,Clean_2078,Clean_2062,Clean_2086,Clean_2065,Clean_2044,Clean_2048,Clean_2033,Clean_2041,Clean_2060,Clean_2029,Clean_1054,Clean_2007,Clean_2038,Clean_2072,Clean_2064,Clean_2025,Clean_2063
A0A075B6H7,IGKV3-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B6I9,IGLV7-46,0,0,0,0,0,44626,50779,0,0,0,0,0,0,7607.3,0,2392.5,0,0,0,0,0,0,0,0,0,0,456.84,0
A0A075B6K4,IGLV3-10,0,0,0,0,9346.4,0,16856,0,0,0,0,0,0,0,0,0,0,78655,0,0,0,0,0,0,0,0,0,7191.2
A0A075B6P5,IGKV2D-28,93313,0,0,0,0,0,480600,0,106350,525920,0,0,0,170930,0,0,0,155960,0,0,0,0,0,0,0,0,0,0
A0A087WSX0,IGLV5-45,0,0,0,0,0,0,45474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096LP55,UQCRHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0MS14,IGHV1-45,18313,10910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.4,0,0,0,0,0,0,0,0,0,0,0
A0A0B4J1V0,IGHV3-15,13769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4J1V2,IGHV2-26,0,0,0,0,0,0,122670,0,0,0,0,0,0,0,0,0,0,0,10139,0,0,0,0,0,0,0,0,0
A0A0B4J1Y9,IGHV3-72,0,0,0,0,0,0,40102,0,0,0,0,0,0,0,0,0,0,9354,0,0,0,0,0,0,0,0,31232,0
A0A0C4DH25,IGKV3D-20,0,475.33,11639,0,0,0,605.8,6392.2,0,0,27730,0,0,0,930.12,0,0,0,206280,0,0,0,0,0,0,0,0,0
A0A0C4DH29,IGHV1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0C4DH31,IGHV1-18,0,4460.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0C4DH38,IGHV5-51,0,0,4602,0,0,0,170370,0,0,2358.1,0,30669,0,0,0,0,0,0,129770,0,14694,0,0,0,0,0,0,543.6
A6NC98,CCDC88B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6999.5,0
A6NE02,BTBD17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6NGN9,IGLON5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P30046,DDT,0,0,0,0,0,0,640.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29435
A6NI72,NCF1B,0,0,0,0,0,0,0,0,40713,0,0,0,0,0,0,0,0,152280,312940,0,0,0,0,0,0,0,0,0
P62834,RAP1A,0,0,0,0,6677.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558.8,0,0,0,0
A6NLU5,VSTM2B,0,24303,0,0,0,0,32401,0,0,0,0,82256,0,0,44365,16729,176770,0,53540,0,7837.8,31072,0,48081,0,0,0,0
A8MUI8,NA,0,0,189170,1373600,0,73263,8621.1,0,0,0,0,0,255700,0,0,325390,1729100,0,40833,0,582670,1740300,190510,0,517700,1914300,0,108470
P62308,SNRPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0DOX8,IGLC1,0,0,0,0,122190,0,11209,0,319640,0,0,0,0,160420,0,0,0,120800,45190,0,0,0,0,1534.4,0,0,0,0
ENSBTAP00000024146,A2M,2351,1322.6,0,0,0,1152.9,0,0,0,20657,0,0,0,0,0,1205,2104,0,46618,4551.7,11546,0,0,0,0,198290,20469,29950
O43790,KRT86,0,3488.9,0,0,0,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q6NTB9,KRT33A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P01966,HBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55185,0,0,0,0,0,0,0
P02070,HBB,0,96282,230410,0,0,4656800,327220,0,0,18906,646.36,0,0,0,12892,0,2342.3,0,0,0,475820,0,7992.9,0,42904,272780,0,0
P02533,KRT14,0,0,0,0,0,0,4899.7,0,0,13306,0,0,0,0,1237,948.18,0,0,338.94,0,2557.7,0,0,0,0,1731,0,0
P02538,KRT6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02662,CSN1S1,0,66546,107130,60272,0,14398,62626,53461,110680,0,87837,12518,133850,0,0,33953,55905,0,20396,64952,66643,62073,91803,12792,91041,87764,0,127720
P02754,LGB,0,0,0,0,0,0,0,0,7090.8,0,12924,0,0,0,0,0,0,0,0,0,0,0,9898.6,0,0,0,0,0
