Protein_ID,Gene_Name,BM_1,BM_2,BM_3,BM_4,BM_5,BM_6,BM_7,BM_8,BM_9,BM_10,BM_11,BM_12,BM_13,BM_14,BM_15,BM_16,NAD_1,NAD_2,NAD_3,NAD_4,NAD_5,NAD_6,NAD_7,NAD_8,NAD_9,NAD_10,NAD_11,NAD_12,NAD_13,NAD_14,NAD_15,NAD_16
P01024,C3,1594172.658,4081974.591,5338822.961,5935730.01,2713709.654,6060138.091,6313961.199,7106937.48,4221081.206,6561271.083,4812139.976,8844005.415,3713787.037,3318760.417,3288698.939,4359073.582,2141406.497,2003505.973,1556544.076,843867.7083,1092445.657,2307040.96,2028650.718,2580394.734,1345373.698,1701911.734,1541046.197,2315205.697,1902935.175,2038091.691,2185330.69,658277.4493
P01023,A2M,1248226.596,2228630.57,3616525.353,2257319.24,4589650.864,4153101.183,3073109.022,6036331.375,2706041.439,3758220.526,3459571.229,3984295.884,3488819.337,3947788.751,2823253.63,2969995.405,1313148.058,845194.0648,1598625.242,782861.9936,843282.329,2295729.722,1933365.146,1314301.569,1392317.003,2306958.805,2110942.983,1879605.781,1775101.328,2439373.673,1547612.779,1340643.799
P02671,FGA,247453.7977,3077400.467,3517209.826,594687.3141,205207.855,1646439.39,1125531.445,437293.369,4579856.897,1748378.468,6715906.18,12228006.47,3663289.722,11648098.8,1745691.725,6933684.441,176663.2016,171825.244,143194.6197,111204.209,187550.7257,237354.9212,163537.5748,330156.373,287512.193,166731.2879,166108.3318,233867.7144,331349.8911,641014.1871,558327.9055,226693.3653
P02787,TF,25097757.32,23590518.85,25251348.88,35813519.78,10385437.81,34333679.61,22876270.04,34659940.18,34583674.85,35336154.65,27048083.05,61425378.94,52614979.56,32964157.14,50950252.21,37713684.81,38966941.11,34669904.9,24620374.77,26494151.74,36743768.09,46726868.97,47334099.3,45014278.13,29054954.26,41746428.55,45964984.4,46489405.77,23284418.31,36745978.6,34866877.26,35033180.82
P02649,APOE,4772232.03,1486130.863,1538790.956,786992.5717,38159.13638,1151182.372,791015.223,955051.5016,2502763.309,1121193.983,746520.5365,1054978.372,3050338.62,613046.0818,5849755.936,3321250.008,8704069.439,4433901.197,9011867.693,3119139.268,4883012.408,4564451.895,5375553.06,6197671.471,4687814.622,11592255.88,11860414.49,6457819.624,4329727.907,8870163.738,5896522.354,2381884.82
P02768-1,ALB,198966112.7,368817722.8,269613075.8,459783590.1,224619969.6,454682651.1,330304135.6,373629310.8,260005019.8,378082063.2,310554443.1,478563740.5,173157341.2,432703033.8,419704815.2,404265164,233983438.2,289935326,143749762.2,152234983.4,372665370.9,444206006.8,265358749.2,369090788.1,280735832.5,480200765,522318918.9,530040626.5,456727948.4,312554121.3,355580353.5,291306363
P05060,CHGB,2483450.5,354626.5892,119392.4323,70324.38256,485966.4783,50245.16042,66986.99844,185859.755,477908.2528,77359.6747,110248.3387,79144.5397,390972.467,129522.2351,844473.8574,350975.5051,2584151.363,2071157.781,3276468.264,1724461.296,2086455.567,1448390.423,2366555.974,1648423.924,2218206.396,1889076.919,3632637.706,1985239.621,1617093.692,3206408.608,1986062.165,2892609.199
P02647,APOA1,8638110.082,15233776.97,15428219.53,28825352.45,3426782.098,25984098.73,22564757.39,21015219.32,12597423.48,14055803.54,13233155.53,42197621.52,9738303.694,17835108.72,9658061.219,18873190.19,7713950.658,10255752.54,5167134.618,7168501.077,5782448.746,7965265.735,7402477.698,11459077.32,8340667.436,10832479.35,8474426.361,15173914.29,15970408.25,8220533.147,10610690.03,5195431.98
P02675,FGB,300346.6567,1715882.074,4514284.432,925001.129,4348431.974,2122440.743,1350345.174,436574.861,3159986.911,1001044.488,3134220.264,4422916.781,1069218.681,9617874.817,687272.6235,2969837.533,228084.0911,326436.3784,179225.3458,174551.329,301630.9467,274479.1267,242976.137,365016.3371,186386.0938,238523.4519,207947.388,208608.474,264790.9992,299468.1423,448655.1141,128670.813
P06396,GSN,763434.9715,1177636.975,849955.1017,1160074.355,793594.1594,1006042.437,965412.1528,848108.7519,1407140.715,730077.9212,607464.4305,691708.9546,716945.4613,1053368.391,1176552.976,1792435.748,696951.1309,838991.1222,1002120.872,270792.3838,1061257.386,1583590.938,979715.2902,1553827.134,151512.8643,1545627.279,1034009.47,1033522.604,294598.8515,1683166.513,1474635.887,98576.8063
P02679,FGG,300899.8763,2249136.627,4643756.262,494255.5943,3545595.147,2811468.738,1205402.123,542904.3608,4122101.805,1255621.602,5389220.082,8662612.909,1366035.131,9966872.119,1117574.95,4858175.467,287941.4031,360728.2998,135146.9495,186696.8119,479568.259,309201.5296,253870.242,453182.1808,473284.5465,241524.0234,739499.8993,645947.6957,222799.3083,518046.0567,678925.0562,238350.0233
